Category,Description,Price,Location,"Image URL"
Appartements,"Location appartement S+3","1300 TND","Ariana, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=d8/d8f6de1b-b21c-4edb-b7ff-ca25a0f300f1&w=100&w=300
Appartements,"A vendre S+3 a cité el khadra","175000 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=d8/d8f6de1b-b21c-4edb-b7ff-ca25a0f300f1&w=100&w=300
Voitures,"GOLF 7 RLINE "," TND","Sfax, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=03/kammoun_auto.png&w=100&w=300
"Autres Immobiliers","ارض للبيع","22 TND","Nabeul, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=c8/c88f5df9-7b7d-4ad5-a10a-6c21509a76a1&w=300
Voitures,"MERCEDES-BENZ C180"," TND","Sfax, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=03/kammoun_auto.png&w=100&w=300
"Bureaux et Plateaux","A louer immeuble Neuf en R2 de 620 m² très haut Standing à Mutuelleville","15000 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=9d/9d00eab7-e622-4e4b-a00e-eb6abde944a3&w=100&w=300
Voitures,"Mercedes-Benz A200AMG"," TND","Sfax, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=03/kammoun_auto.png&w=100&w=300
"Meubles et Décoration","lavabo toilette neuve ","180 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=3a/3a15673c-af80-40c6-9c3a-91d28ef8e3f9&w=300
Voitures,"MERCEDES-BENZ C180"," TND","Sfax, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=03/kammoun_auto.png&w=100&w=300
Voitures,"GOLF 7 ALL STAR"," TND","Sfax, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=03/kammoun_auto.png&w=100&w=300
