"Product Name",Descriptions,Price,"URL of Image"
"AQUAX WHITENING CREAM 50G","AQUAX WHITENING CREAM 50G","60,690 TND",https://pharma-shop.tn/11508-large_default/aquax-whitening-cream-50g.jpg
"LA RUNE PARIS NUTRIDERMA VISAGE ET CORPS 100ML","LA RUNE PARIS NUTRIDERMA VISAGE ET CORPS 100ML","43,002 TND",https://pharma-shop.tn/20833-large_default/la-rune-paris-nutriderma-visage-et-corps-100ml.jpg
"BEBIO COSMETICS CREME VISAGE HYDRATANTE...","BEBIO COSMETICS CREME VISAGE HYDRATANTE...","21,428 TND",https://pharma-shop.tn/20376-large_default/bebio-cosmetics-creme-visage-hydratante-naturelle-journuit-75-ml.jpg
"BYPHASSE NIACINAMIDE CREME ANTI TACHES 50ML","BYPHASSE NIACINAMIDE CREME ANTI TACHES 50ML","39,779 TND",https://pharma-shop.tn/19553-large_default/byphasse-niacinamide-creme-anti-taches-50ml.jpg
"ALANIA COFFRET DUO PACK HYDRA","ALANIA COFFRET DUO PACK HYDRA","122,808 TND",https://pharma-shop.tn/19543-large_default/alania-coffret-duo-pack-hydra.jpg
"ZYNIA PINK TRIP CREME HYDRATANTE SUBLIME 150GR","ZYNIA PINK TRIP CREME HYDRATANTE SUBLIME 150GR","14,280 TND",https://pharma-shop.tn/16193-large_default/zynia-pink-trip-creme-hydratante-sublime-150gr.jpg
"ZYNIA CREME HYDRATANTE HUILE D'OLIVE ET ALOE...","ZYNIA CREME HYDRATANTE HUILE D'OLIVE ET ALOE...","10,710 TND",https://pharma-shop.tn/20877-large_default/zynia-creme-hydratante-huile-d-olive-et-aloe-vera-150ml.jpg
"ERICA LOTION HYDRATANTE 250ML","ERICA LOTION HYDRATANTE 250ML","22,820 TND",https://pharma-shop.tn/20477-large_default/erica-lotion-hydratante-250ml.jpg
"NUXE HUILE PRODIGIEUSE FLORALE 100ML","NUXE HUILE PRODIGIEUSE FLORALE 100ML","99,047 TND",https://pharma-shop.tn/5616-large_default/nuxe-huile-prodigieuse-florale-100-ml.jpg
"VASELINE PURE 35ML","VASELINE PURE 35ML","2,263 TND",https://pharma-shop.tn/13487-large_default/vaseline-pure-35ml.jpg
"FILORGA HYDRA FILLER MASK","FILORGA HYDRA FILLER MASK","28,642 TND",https://pharma-shop.tn/2902-large_default/filorga-hydra-filler-mask.jpg
"BEBIO COSMETICS GEL NETTOYANT VISAGE HYDRATANT...","BEBIO COSMETICS GEL NETTOYANT VISAGE HYDRATANT...","21,428 TND",https://pharma-shop.tn/20365-large_default/bebio-cosmetics-gel-nettoyant-visage-hydratant-naturel-150-ml.jpg
